Risk Statement,Policy,Control Objectives,Issue,Citation,Business Context
System downtime affecting operations,Access Control Policy,Ensure periodic audits,Delayed audit reporting,NIST 800-53: AT-2,Finance Department
Weak password policies leading to breaches,Access Control Policy,Monitor transaction anomalies,Lack of employee training,PCI DSS Requirement 10,Accounting Division
Inadequate vendor risk assessment,Regulatory Compliance Policy,Conduct regular phishing simulations,Inadequate risk mitigation strategies,NIST 800-53: AT-2,Retail Banking
Fraudulent transactions,Fraud Prevention Policy,Monitor transaction anomalies,No disaster recovery plan,GDPR Article 32,Legal Compliance
Fraudulent transactions,Regulatory Compliance Policy,Enforce strong password policies,Inadequate risk mitigation strategies,SOX Section 404,IT Security
Data breach due to phishing,Regulatory Compliance Policy,Implement multi-factor authentication,No disaster recovery plan,PCI DSS Requirement 10,Finance Department
Insider threats impacting confidentiality,Access Control Policy,Ensure periodic audits,Delayed audit reporting,SOX Section 404,Accounting Division
Non-compliance with financial regulations,Regulatory Compliance Policy,Conduct regular phishing simulations,Delayed audit reporting,GDPR Article 32,Accounting Division
System downtime affecting operations,Cybersecurity Awareness Policy,Establish real-time threat monitoring,Inadequate risk mitigation strategies,NIST 800-53: AT-2,Finance Department
Fraudulent transactions,Business Continuity Policy,Establish real-time threat monitoring,Weak password enforcement,PCI DSS Requirement 10,Retail Banking
Fraudulent transactions,Business Continuity Policy,Ensure periodic audits,Lack of employee training,PCI DSS Requirement 10,Finance Department
Weak password policies leading to breaches,Fraud Prevention Policy,Implement multi-factor authentication,Weak password enforcement,ISO 27001: A.9.4.2,Accounting Division
Unauthorized access to sensitive data,Cybersecurity Awareness Policy,Implement multi-factor authentication,No disaster recovery plan,PCI DSS Requirement 10,Legal Compliance
Insider threats impacting confidentiality,Regulatory Compliance Policy,Monitor transaction anomalies,Delayed audit reporting,GDPR Article 32,Retail Banking
Weak password policies leading to breaches,Access Control Policy,Maintain redundant infrastructure,Inadequate risk mitigation strategies,NIST 800-53: AT-2,Operations Team
Weak password policies leading to breaches,Fraud Prevention Policy,Establish real-time threat monitoring,Insufficient fraud detection,GDPR Article 32,Finance Department
Inadequate vendor risk assessment,Fraud Prevention Policy,Enforce strong password policies,Insufficient fraud detection,ISO 22301: 8.3,IT Security
Non-compliance with financial regulations,Business Continuity Policy,Implement multi-factor authentication,No disaster recovery plan,ISO 27001: A.9.4.2,IT Security
System downtime affecting operations,Regulatory Compliance Policy,Monitor transaction anomalies,Insufficient fraud detection,ISO 27001: A.9.4.2,IT Security
Inadequate vendor risk assessment,Vendor Risk Assessment Policy,Enforce strong password policies,Lack of employee training,ISO 22301: 8.3,Retail Banking
Inadequate vendor risk assessment,Access Control Policy,Implement multi-factor authentication,Inadequate risk mitigation strategies,SOX Section 404,Operations Team
System downtime affecting operations,Business Continuity Policy,Enforce strong password policies,Insufficient fraud detection,NIST 800-53: AT-2,Operations Team
Inadequate vendor risk assessment,Vendor Risk Assessment Policy,Ensure periodic audits,Lack of employee training,GDPR Article 32,Finance Department
Weak password policies leading to breaches,Fraud Prevention Policy,Establish real-time threat monitoring,Inadequate risk mitigation strategies,ISO 22301: 8.3,Retail Banking
System downtime affecting operations,Cybersecurity Awareness Policy,Conduct regular phishing simulations,Delayed audit reporting,GDPR Article 32,Finance Department
Inadequate vendor risk assessment,Cybersecurity Awareness Policy,Monitor transaction anomalies,Inadequate risk mitigation strategies,ISO 27001: A.9.4.2,Legal Compliance
Unauthorized access to sensitive data,Regulatory Compliance Policy,Conduct regular phishing simulations,Insufficient fraud detection,PCI DSS Requirement 10,Retail Banking
Inadequate vendor risk assessment,Fraud Prevention Policy,Establish real-time threat monitoring,Insufficient fraud detection,SOX Section 404,Accounting Division
Fraudulent transactions,Access Control Policy,Establish real-time threat monitoring,No disaster recovery plan,GDPR Article 32,Finance Department
Inadequate vendor risk assessment,Vendor Risk Assessment Policy,Implement multi-factor authentication,Lack of employee training,ISO 27001: A.9.4.2,Accounting Division
Fraudulent transactions,Fraud Prevention Policy,Conduct regular phishing simulations,Insufficient fraud detection,PCI DSS Requirement 10,IT Security
System downtime affecting operations,Regulatory Compliance Policy,Maintain redundant infrastructure,Delayed audit reporting,ISO 22301: 8.3,Legal Compliance
Weak password policies leading to breaches,Regulatory Compliance Policy,Monitor transaction anomalies,Lack of employee training,ISO 22301: 8.3,Legal Compliance
Insider threats impacting confidentiality,Access Control Policy,Enforce strong password policies,Lack of employee training,GDPR Article 32,Legal Compliance
Insider threats impacting confidentiality,Access Control Policy,Establish real-time threat monitoring,Inadequate risk mitigation strategies,SOX Section 404,Legal Compliance
Fraudulent transactions,Regulatory Compliance Policy,Enforce strong password policies,Delayed audit reporting,PCI DSS Requirement 10,Finance Department
Unauthorized access to sensitive data,Business Continuity Policy,Enforce strong password policies,Delayed audit reporting,ISO 22301: 8.3,Finance Department
Fraudulent transactions,Vendor Risk Assessment Policy,Conduct regular phishing simulations,Delayed audit reporting,PCI DSS Requirement 10,IT Security
Insider threats impacting confidentiality,Access Control Policy,Ensure periodic audits,Delayed audit reporting,PCI DSS Requirement 10,Finance Department
Data breach due to phishing,Business Continuity Policy,Ensure periodic audits,Insufficient fraud detection,SOX Section 404,Finance Department
Insider threats impacting confidentiality,Access Control Policy,Maintain redundant infrastructure,Insufficient fraud detection,ISO 22301: 8.3,Legal Compliance
Fraudulent transactions,Cybersecurity Awareness Policy,Implement multi-factor authentication,Insufficient fraud detection,ISO 22301: 8.3,Legal Compliance
Unauthorized access to sensitive data,Cybersecurity Awareness Policy,Monitor transaction anomalies,Inadequate risk mitigation strategies,NIST 800-53: AT-2,Operations Team
Data breach due to phishing,Cybersecurity Awareness Policy,Monitor transaction anomalies,Delayed audit reporting,ISO 22301: 8.3,Operations Team
Fraudulent transactions,Regulatory Compliance Policy,Maintain redundant infrastructure,Insufficient fraud detection,ISO 27001: A.9.4.2,Legal Compliance
Data breach due to phishing,Vendor Risk Assessment Policy,Establish real-time threat monitoring,Lack of employee training,ISO 22301: 8.3,Retail Banking
Inadequate vendor risk assessment,Access Control Policy,Enforce strong password policies,Insufficient fraud detection,ISO 27001: A.9.4.2,Operations Team
Insider threats impacting confidentiality,Regulatory Compliance Policy,Implement multi-factor authentication,Lack of employee training,PCI DSS Requirement 10,Legal Compliance
System downtime affecting operations,Cybersecurity Awareness Policy,Implement multi-factor authentication,Weak password enforcement,ISO 22301: 8.3,Retail Banking
Inadequate vendor risk assessment,Business Continuity Policy,Conduct regular phishing simulations,Delayed audit reporting,NIST 800-53: AT-2,Finance Department
System downtime affecting operations,Fraud Prevention Policy,Implement multi-factor authentication,No disaster recovery plan,ISO 22301: 8.3,Retail Banking
Inadequate vendor risk assessment,Cybersecurity Awareness Policy,Conduct regular phishing simulations,Lack of employee training,NIST 800-53: AT-2,Operations Team
Inadequate vendor risk assessment,Regulatory Compliance Policy,Ensure periodic audits,Lack of employee training,ISO 27001: A.9.4.2,Operations Team
Fraudulent transactions,Vendor Risk Assessment Policy,Conduct regular phishing simulations,Weak password enforcement,PCI DSS Requirement 10,Legal Compliance
Insider threats impacting confidentiality,Regulatory Compliance Policy,Conduct regular phishing simulations,Delayed audit reporting,ISO 22301: 8.3,Retail Banking
Insider threats impacting confidentiality,Regulatory Compliance Policy,Ensure periodic audits,Weak password enforcement,GDPR Article 32,Legal Compliance
Non-compliance with financial regulations,Fraud Prevention Policy,Implement multi-factor authentication,Delayed audit reporting,ISO 22301: 8.3,Accounting Division
System downtime affecting operations,Regulatory Compliance Policy,Enforce strong password policies,Insufficient fraud detection,ISO 22301: 8.3,Finance Department
Unauthorized access to sensitive data,Fraud Prevention Policy,Conduct regular phishing simulations,Weak password enforcement,ISO 27001: A.9.4.2,Finance Department
Inadequate vendor risk assessment,Cybersecurity Awareness Policy,Maintain redundant infrastructure,No disaster recovery plan,PCI DSS Requirement 10,IT Security
Data breach due to phishing,Regulatory Compliance Policy,Ensure periodic audits,No disaster recovery plan,NIST 800-53: AT-2,Retail Banking
Weak password policies leading to breaches,Cybersecurity Awareness Policy,Implement multi-factor authentication,Delayed audit reporting,NIST 800-53: AT-2,Accounting Division
Data breach due to phishing,Access Control Policy,Ensure periodic audits,Delayed audit reporting,SOX Section 404,Retail Banking
Data breach due to phishing,Business Continuity Policy,Establish real-time threat monitoring,Insufficient fraud detection,PCI DSS Requirement 10,Accounting Division
System downtime affecting operations,Cybersecurity Awareness Policy,Conduct regular phishing simulations,Insufficient fraud detection,SOX Section 404,IT Security
Unauthorized access to sensitive data,Fraud Prevention Policy,Monitor transaction anomalies,Weak password enforcement,ISO 22301: 8.3,Accounting Division
Data breach due to phishing,Access Control Policy,Conduct regular phishing simulations,Lack of employee training,PCI DSS Requirement 10,Legal Compliance
Fraudulent transactions,Vendor Risk Assessment Policy,Implement multi-factor authentication,Weak password enforcement,PCI DSS Requirement 10,Legal Compliance
Data breach due to phishing,Access Control Policy,Enforce strong password policies,Insufficient fraud detection,SOX Section 404,Legal Compliance
Data breach due to phishing,Regulatory Compliance Policy,Ensure periodic audits,No disaster recovery plan,NIST 800-53: AT-2,Retail Banking
Insider threats impacting confidentiality,Access Control Policy,Enforce strong password policies,No disaster recovery plan,GDPR Article 32,IT Security
Non-compliance with financial regulations,Cybersecurity Awareness Policy,Monitor transaction anomalies,Insufficient fraud detection,SOX Section 404,Accounting Division
Non-compliance with financial regulations,Cybersecurity Awareness Policy,Establish real-time threat monitoring,Lack of employee training,ISO 27001: A.9.4.2,Finance Department
Weak password policies leading to breaches,Business Continuity Policy,Enforce strong password policies,Weak password enforcement,PCI DSS Requirement 10,IT Security
Insider threats impacting confidentiality,Business Continuity Policy,Establish real-time threat monitoring,Delayed audit reporting,ISO 22301: 8.3,Retail Banking
Non-compliance with financial regulations,Business Continuity Policy,Conduct regular phishing simulations,Inadequate risk mitigation strategies,NIST 800-53: AT-2,Legal Compliance
Fraudulent transactions,Access Control Policy,Monitor transaction anomalies,Insufficient fraud detection,GDPR Article 32,Operations Team
Data breach due to phishing,Regulatory Compliance Policy,Conduct regular phishing simulations,Insufficient fraud detection,GDPR Article 32,IT Security
Fraudulent transactions,Business Continuity Policy,Maintain redundant infrastructure,Inadequate risk mitigation strategies,SOX Section 404,Accounting Division
Data breach due to phishing,Cybersecurity Awareness Policy,Establish real-time threat monitoring,Weak password enforcement,SOX Section 404,Finance Department
Insider threats impacting confidentiality,Fraud Prevention Policy,Ensure periodic audits,Insufficient fraud detection,ISO 22301: 8.3,Legal Compliance
Weak password policies leading to breaches,Fraud Prevention Policy,Conduct regular phishing simulations,Inadequate risk mitigation strategies,ISO 27001: A.9.4.2,Legal Compliance
Insider threats impacting confidentiality,Cybersecurity Awareness Policy,Monitor transaction anomalies,Lack of employee training,NIST 800-53: AT-2,IT Security
Weak password policies leading to breaches,Vendor Risk Assessment Policy,Establish real-time threat monitoring,Weak password enforcement,GDPR Article 32,Legal Compliance
System downtime affecting operations,Business Continuity Policy,Implement multi-factor authentication,No disaster recovery plan,ISO 27001: A.9.4.2,IT Security
Fraudulent transactions,Fraud Prevention Policy,Maintain redundant infrastructure,Inadequate risk mitigation strategies,PCI DSS Requirement 10,IT Security
Weak password policies leading to breaches,Vendor Risk Assessment Policy,Conduct regular phishing simulations,No disaster recovery plan,PCI DSS Requirement 10,IT Security
System downtime affecting operations,Access Control Policy,Maintain redundant infrastructure,No disaster recovery plan,GDPR Article 32,Retail Banking
Inadequate vendor risk assessment,Access Control Policy,Monitor transaction anomalies,Lack of employee training,ISO 22301: 8.3,IT Security
Data breach due to phishing,Regulatory Compliance Policy,Monitor transaction anomalies,Inadequate risk mitigation strategies,ISO 22301: 8.3,Retail Banking
Fraudulent transactions,Cybersecurity Awareness Policy,Implement multi-factor authentication,No disaster recovery plan,GDPR Article 32,Finance Department
Unauthorized access to sensitive data,Access Control Policy,Enforce strong password policies,Insufficient fraud detection,SOX Section 404,Legal Compliance
Inadequate vendor risk assessment,Cybersecurity Awareness Policy,Ensure periodic audits,Lack of employee training,NIST 800-53: AT-2,Retail Banking
Non-compliance with financial regulations,Business Continuity Policy,Ensure periodic audits,No disaster recovery plan,SOX Section 404,Accounting Division
Weak password policies leading to breaches,Fraud Prevention Policy,Enforce strong password policies,Weak password enforcement,SOX Section 404,Legal Compliance
System downtime affecting operations,Regulatory Compliance Policy,Conduct regular phishing simulations,Insufficient fraud detection,GDPR Article 32,Accounting Division
Weak password policies leading to breaches,Regulatory Compliance Policy,Conduct regular phishing simulations,Inadequate risk mitigation strategies,NIST 800-53: AT-2,Accounting Division
Unauthorized access to sensitive data,Business Continuity Policy,Establish real-time threat monitoring,Lack of employee training,ISO 22301: 8.3,IT Security
System downtime affecting operations,Cybersecurity Awareness Policy,Maintain redundant infrastructure,Lack of employee training,PCI DSS Requirement 10,Operations Team
Unauthorized access to sensitive data,Cybersecurity Awareness Policy,Maintain redundant infrastructure,Delayed audit reporting,NIST 800-53: AT-2,Legal Compliance
Weak password policies leading to breaches,Cybersecurity Awareness Policy,Conduct regular phishing simulations,No disaster recovery plan,GDPR Article 32,Accounting Division
Inadequate vendor risk assessment,Fraud Prevention Policy,Implement multi-factor authentication,Lack of employee training,SOX Section 404,Operations Team
Insider threats impacting confidentiality,Regulatory Compliance Policy,Enforce strong password policies,Delayed audit reporting,ISO 27001: A.9.4.2,Accounting Division
Unauthorized access to sensitive data,Business Continuity Policy,Maintain redundant infrastructure,Inadequate risk mitigation strategies,PCI DSS Requirement 10,Retail Banking
Weak password policies leading to breaches,Business Continuity Policy,Monitor transaction anomalies,No disaster recovery plan,ISO 22301: 8.3,Retail Banking
Non-compliance with financial regulations,Business Continuity Policy,Maintain redundant infrastructure,Insufficient fraud detection,SOX Section 404,Retail Banking
Unauthorized access to sensitive data,Access Control Policy,Enforce strong password policies,Inadequate risk mitigation strategies,SOX Section 404,Accounting Division
Fraudulent transactions,Vendor Risk Assessment Policy,Conduct regular phishing simulations,Insufficient fraud detection,ISO 22301: 8.3,Accounting Division
Fraudulent transactions,Fraud Prevention Policy,Establish real-time threat monitoring,Lack of employee training,NIST 800-53: AT-2,Accounting Division
System downtime affecting operations,Access Control Policy,Enforce strong password policies,No disaster recovery plan,NIST 800-53: AT-2,Finance Department
Data breach due to phishing,Business Continuity Policy,Ensure periodic audits,Weak password enforcement,GDPR Article 32,Finance Department
Unauthorized access to sensitive data,Access Control Policy,Maintain redundant infrastructure,Weak password enforcement,SOX Section 404,IT Security
Insider threats impacting confidentiality,Fraud Prevention Policy,Ensure periodic audits,Weak password enforcement,ISO 27001: A.9.4.2,Operations Team
Unauthorized access to sensitive data,Fraud Prevention Policy,Maintain redundant infrastructure,Weak password enforcement,ISO 22301: 8.3,Finance Department
Inadequate vendor risk assessment,Access Control Policy,Monitor transaction anomalies,Weak password enforcement,GDPR Article 32,IT Security
Inadequate vendor risk assessment,Cybersecurity Awareness Policy,Implement multi-factor authentication,Weak password enforcement,ISO 22301: 8.3,Legal Compliance
Data breach due to phishing,Vendor Risk Assessment Policy,Enforce strong password policies,Delayed audit reporting,GDPR Article 32,Operations Team
Fraudulent transactions,Business Continuity Policy,Monitor transaction anomalies,Lack of employee training,SOX Section 404,Retail Banking
Weak password policies leading to breaches,Regulatory Compliance Policy,Enforce strong password policies,No disaster recovery plan,ISO 22301: 8.3,IT Security
Inadequate vendor risk assessment,Business Continuity Policy,Implement multi-factor authentication,No disaster recovery plan,GDPR Article 32,Finance Department
Data breach due to phishing,Vendor Risk Assessment Policy,Conduct regular phishing simulations,Insufficient fraud detection,GDPR Article 32,Operations Team
Fraudulent transactions,Regulatory Compliance Policy,Enforce strong password policies,Insufficient fraud detection,NIST 800-53: AT-2,Retail Banking
Data breach due to phishing,Vendor Risk Assessment Policy,Implement multi-factor authentication,Inadequate risk mitigation strategies,ISO 27001: A.9.4.2,Legal Compliance
System downtime affecting operations,Fraud Prevention Policy,Enforce strong password policies,Delayed audit reporting,SOX Section 404,Legal Compliance
Fraudulent transactions,Cybersecurity Awareness Policy,Implement multi-factor authentication,Lack of employee training,NIST 800-53: AT-2,Legal Compliance
Inadequate vendor risk assessment,Fraud Prevention Policy,Conduct regular phishing simulations,Delayed audit reporting,PCI DSS Requirement 10,IT Security
Data breach due to phishing,Access Control Policy,Implement multi-factor authentication,No disaster recovery plan,ISO 22301: 8.3,Retail Banking
Inadequate vendor risk assessment,Vendor Risk Assessment Policy,Maintain redundant infrastructure,Delayed audit reporting,ISO 27001: A.9.4.2,Retail Banking
Insider threats impacting confidentiality,Access Control Policy,Monitor transaction anomalies,Insufficient fraud detection,ISO 27001: A.9.4.2,Operations Team
Insider threats impacting confidentiality,Vendor Risk Assessment Policy,Enforce strong password policies,Lack of employee training,SOX Section 404,Retail Banking
Non-compliance with financial regulations,Regulatory Compliance Policy,Establish real-time threat monitoring,Lack of employee training,ISO 22301: 8.3,Finance Department
Non-compliance with financial regulations,Regulatory Compliance Policy,Maintain redundant infrastructure,Weak password enforcement,ISO 22301: 8.3,Finance Department
Weak password policies leading to breaches,Vendor Risk Assessment Policy,Implement multi-factor authentication,Weak password enforcement,GDPR Article 32,Finance Department
System downtime affecting operations,Cybersecurity Awareness Policy,Conduct regular phishing simulations,Lack of employee training,PCI DSS Requirement 10,Accounting Division
System downtime affecting operations,Regulatory Compliance Policy,Implement multi-factor authentication,Insufficient fraud detection,ISO 27001: A.9.4.2,Retail Banking
Inadequate vendor risk assessment,Business Continuity Policy,Monitor transaction anomalies,Lack of employee training,ISO 27001: A.9.4.2,Accounting Division
Fraudulent transactions,Vendor Risk Assessment Policy,Conduct regular phishing simulations,Weak password enforcement,ISO 22301: 8.3,Retail Banking
Fraudulent transactions,Fraud Prevention Policy,Ensure periodic audits,Delayed audit reporting,ISO 22301: 8.3,Operations Team
Weak password policies leading to breaches,Business Continuity Policy,Implement multi-factor authentication,Weak password enforcement,ISO 22301: 8.3,IT Security
Weak password policies leading to breaches,Regulatory Compliance Policy,Monitor transaction anomalies,No disaster recovery plan,PCI DSS Requirement 10,Legal Compliance
Fraudulent transactions,Fraud Prevention Policy,Establish real-time threat monitoring,Insufficient fraud detection,PCI DSS Requirement 10,IT Security
Unauthorized access to sensitive data,Regulatory Compliance Policy,Implement multi-factor authentication,Insufficient fraud detection,ISO 27001: A.9.4.2,IT Security
Weak password policies leading to breaches,Regulatory Compliance Policy,Establish real-time threat monitoring,Lack of employee training,PCI DSS Requirement 10,Retail Banking
Insider threats impacting confidentiality,Business Continuity Policy,Monitor transaction anomalies,Lack of employee training,PCI DSS Requirement 10,Finance Department
